product_id,manufacturer_name,brand_name,color_name,material_code,color_measured_hex,color_measured_rgb,color_measured_cielab,shopify_url_linkfromset,source_file
PCDB-003-001-3,Bambu Lab,ABS,ABS Silver,ABS,,,,,
PCDB-003-002-3,Bambu Lab,ABS,ABS Black,ABS,,,,,
PCDB-003-003-3,Bambu Lab,ABS,ABS White,ABS,,,,,
PCDB-003-004-3,Bambu Lab,ABS,ABS Bambu Green,ABS,,,,,
PCDB-003-005-3,Bambu Lab,ABS,ABS Olive,ABS,,,,,
PCDB-003-006-3,Bambu Lab,ABS,ABS Tangerine Yellow,ABS,,,,,
PCDB-003-007-3,Bambu Lab,ABS,ABS Orange,ABS,,,,,
PCDB-003-008-3,Bambu Lab,ABS,ABS Red,ABS,,,,,
PCDB-003-009-3,Bambu Lab,ABS,ABS Azure,ABS,,,,,
PCDB-003-010-3,Bambu Lab,ABS,ABS Blue,ABS,,,,,
PCDB-003-011-3,Bambu Lab,ABS,ABS Navy Blue,ABS,,,,,
PCDB-003-012-3,Bambu Lab,ABS-GF,Orange,ABS,,,,,
PCDB-003-013-3,Bambu Lab,ABS-GF,Green,ABS,,,,,
PCDB-003-014-3,Bambu Lab,ABS-GF,Red,ABS,,,,,
PCDB-003-015-3,Bambu Lab,ABS-GF,Yellow,ABS,,,,,
PCDB-003-016-3,Bambu Lab,ABS-GF,Blue,ABS,,,,,
PCDB-003-017-3,Bambu Lab,ABS-GF,White,ABS,,,,,
PCDB-003-018-3,Bambu Lab,ABS-GF,Gray,ABS,,,,,
PCDB-003-019-3,Bambu Lab,ABS-GF,Black,ABS,,,,,
PCDB-003-001-4,Bambu Lab,ASA,White,ASA,,,,,
PCDB-003-002-4,Bambu Lab,ASA,Green,ASA,,,,,
PCDB-003-003-4,Bambu Lab,ASA,Black,ASA,,,,,
PCDB-003-004-4,Bambu Lab,ASA,Gray,ASA,,,,,
PCDB-003-005-4,Bambu Lab,ASA,Red,ASA,,,,,
PCDB-003-006-4,Bambu Lab,ASA,Blue,ASA,,,,,
PCDB-003-007-4,Bambu Lab,ASA Aero,White,ASA,,,,,
PCDB-003-008-4,Bambu Lab,ASA-CF,Black,ASA,,,,,
PCDB-003-001-14,Bambu Lab,Support for ABS,White,HIPS,,,,,
PCDB-003-001-8,Bambu Lab,PA6-CF,Black,PA6,,,,,
PCDB-003-002-8,Bambu Lab,PA6-GF,Blue,PA6,,,,,
PCDB-003-003-8,Bambu Lab,PA6-GF,Orange,PA6,,,,,
PCDB-003-004-8,Bambu Lab,PA6-GF,Yellow,PA6,,,,,
PCDB-003-005-8,Bambu Lab,PA6-GF,Lime,PA6,,,,,
PCDB-003-006-8,Bambu Lab,PA6-GF,Brown,PA6,,,,,
PCDB-003-007-8,Bambu Lab,PA6-GF,White,PA6,,,,,
PCDB-003-008-8,Bambu Lab,PA6-GF,Gray,PA6,,,,,
PCDB-003-009-8,Bambu Lab,PA6-GF,Black,PA6,,,,,
PCDB-003-010-999,Bambu Lab,PAHT-CF,Black,PA,,,,,
PCDB-003-011-999,Bambu Lab,Support for PA/PET (PC+ABS),Green,PA,,,,,
PCDB-003-001-5,Bambu Lab,PC,Transparent,PC,,,,,
PCDB-003-002-5,Bambu Lab,PC,Clear Black,PC,,,,,
PCDB-003-003-5,Bambu Lab,PC,Black,PC,,,,,
PCDB-003-004-5,Bambu Lab,PC,White,PC,,,,,
PCDB-003-005-5,Bambu Lab,PC FR,Black,PC,,,,,
PCDB-003-006-5,Bambu Lab,PC FR,White,PC,,,,,
