Manufacturer,Brand Name,Color Name,ID number
123-3D,ABS,Black,PCDB-001-19862-3
123-3D,ABS,Grey,PCDB-001-24914-3
123-3D,ABS,Neutral,PCDB-001-23710-3
123-3D,ABS,White,PCDB-001-2068-3
123-3D,ASA,black,PCDB-001-24474-4
123-3D,ASA,white,PCDB-001-24473-4
123-3D,HIPS,White,PCDB-001-24917-14
123-3D,PC-ABS FR,Black,PCDB-001-26783-999
123-3D,PCTG Transparent,Transparent Red,PCDB-001-22654-6
123-3D,PCTG,black,PCDB-001-24469-6
123-3D,PETG,Black,PCDB-001-2028-1
123-3D,PETG Matte,Black,PCDB-001-14404-1
123-3D,PETG Matte,Blue,PCDB-001-14405-1
123-3D,PETG,Green,PCDB-001-30633-1
123-3D,PETG,Grey,PCDB-001-9454-1
123-3D,PETG,Orange,PCDB-001-18634-1
123-3D,PETG,Red,PCDB-001-31877-1
123-3D,PETG,Red SKU:DHM00131,PCDB-001-34552-1
123-3D,PETG,Sky Blue,PCDB-001-15806-1
123-3D,PETG,Sky Blue,PCDB-001-15807-1
123-3D,PETG Translucent,Translucent,PCDB-001-2027-1
123-3D,PETG,White,PCDB-001-9453-1
123-3D,PETG Matte,White,PCDB-001-14406-1
123-3D,PETG Transparent,black,PCDB-001-24447-1
123-3D,PETG Transparent,red,PCDB-001-24449-1
123-3D,PLA -- Other --,Antibacterial white,PCDB-001-25176-0
123-3D,PLA Wood,Bio Ebony Wood,PCDB-001-32948-0
123-3D,PLA Wood,Bio Oak Wood,PCDB-001-10364-0
123-3D,PLA,Black,PCDB-001-1802-0
123-3D,PLA Tough,Black,PCDB-001-9631-0
123-3D,PLA High Speed,Blue,PCDB-001-9308-0
123-3D,PLA,Bronze,PCDB-001-31187-0
123-3D,PLA,Brown,PCDB-001-19550-0
123-3D,PLA,Crème Wit,PCDB-001-17189-0
123-3D,PLA,Dark Blue,PCDB-001-4591-0
123-3D,PLA Wood,Dennen,PCDB-001-17190-0
123-3D,PLA Chameleon,Geel/Groen,PCDB-001-32343-0
123-3D,PLA,Glow in the Dark Groen,PCDB-001-17188-0
123-3D,PLA Glitter,Gold,PCDB-001-23816-0
123-3D,PLA Chameleon,Gold Silver,PCDB-001-29623-0
123-3D,PLA,Green,PCDB-001-10237-0
123-3D,PLA Chameleon,Green - Blue,PCDB-001-24826-0
123-3D,PLA,Grey,PCDB-001-4593-0
123-3D,PLA,Groen,PCDB-001-12328-0
123-3D,PLA,Jupiter Black,PCDB-001-18322-0
123-3D,PLA -- Other --,Jupiter-Silver,PCDB-001-12976-0
123-3D,PLA,Leafy Green,PCDB-001-10236-0
123-3D,PLA,Lichtgrijs,PCDB-001-4129-0
123-3D,PLA,Light Pink,PCDB-001-10238-0
123-3D,PLA,Lime Green,PCDB-001-10272-0
