Manufacturer,Brand Name,Color Name,ID number
123-3D,ABS,Black,PCDB-001-001-3
123-3D,ABS,Grey,PCDB-001-002-3
123-3D,ABS,Neutral,PCDB-001-003-3
123-3D,ABS,White,PCDB-001-004-3
123-3D,ASA,black,PCDB-001-001-4
123-3D,ASA,white,PCDB-001-002-4
123-3D,HIPS,White,PCDB-001-001-14
123-3D,PC-ABS FR,Black,PCDB-001-001-999
123-3D,PCTG Transparent,Transparent Red,PCDB-001-001-6
123-3D,PCTG,black,PCDB-001-002-6
123-3D,PETG,Black,PCDB-001-001-1
123-3D,PETG Matte,Black,PCDB-001-002-1
123-3D,PETG Matte,Blue,PCDB-001-003-1
123-3D,PETG,Green,PCDB-001-004-1
123-3D,PETG,Grey,PCDB-001-005-1
123-3D,PETG,Orange,PCDB-001-006-1
123-3D,PETG,Red,PCDB-001-007-1
123-3D,PETG,Sky Blue,PCDB-001-008-1
123-3D,PETG,Sky Blue,PCDB-001-009-1
123-3D,PETG Translucent,Translucent,PCDB-001-010-1
123-3D,PETG,White,PCDB-001-011-1
123-3D,PETG Matte,White,PCDB-001-012-1
123-3D,PETG Transparent,black,PCDB-001-013-1
123-3D,PETG Transparent,red,PCDB-001-014-1
123-3D,PLA -- Other --,Antibacterial white,PCDB-001-001-0
123-3D,PLA Wood,Bio Oak Wood,PCDB-001-002-0
123-3D,PLA,Black,PCDB-001-003-0
123-3D,PLA Tough,Black,PCDB-001-004-0
123-3D,PLA High Speed,Blue,PCDB-001-005-0
123-3D,PLA,Bronze,PCDB-001-006-0
123-3D,PLA,Brown,PCDB-001-007-0
123-3D,PLA,Crème Wit,PCDB-001-008-0
123-3D,PLA,Dark Blue,PCDB-001-009-0
123-3D,PLA Wood,Dennen,PCDB-001-010-0
123-3D,PLA Chameleon,Geel/Groen,PCDB-001-011-0
123-3D,PLA,Glow in the Dark Groen,PCDB-001-012-0
123-3D,PLA Glitter,Gold,PCDB-001-013-0
123-3D,PLA Chameleon,Gold Silver,PCDB-001-014-0
123-3D,PLA,Green,PCDB-001-015-0
123-3D,PLA Chameleon,Green - Blue,PCDB-001-016-0
123-3D,PLA,Grey,PCDB-001-017-0
123-3D,PLA,Groen,PCDB-001-018-0
123-3D,PLA,Jupiter Black,PCDB-001-019-0
123-3D,PLA -- Other --,Jupiter-Silver,PCDB-001-020-0
123-3D,PLA,Leafy Green,PCDB-001-021-0
123-3D,PLA,Lichtgrijs,PCDB-001-022-0
123-3D,PLA,Light Pink,PCDB-001-023-0
123-3D,PLA,Lime Green,PCDB-001-024-0
123-3D,PLA,Magenta,PCDB-001-025-0
123-3D,PLA,Nude,PCDB-001-026-0
123-3D,PLA,Orange,PCDB-001-027-0
123-3D,PLA Chameleon,Paars-Roze,PCDB-001-028-0
123-3D,PLA,Pastel Blue,PCDB-001-029-0
123-3D,PLA,Pastel Rose,PCDB-001-030-0
123-3D,PLA,Pastel Turquoise,PCDB-001-031-0
123-3D,PLA,Pastel mint-green,PCDB-001-032-0
123-3D,PLA,Purple,PCDB-001-033-0
123-3D,PLA Translucent,Red,PCDB-001-034-0
123-3D,PLA,Red,PCDB-001-035-0
123-3D,PLA Glitter,Red,PCDB-001-036-0
123-3D,PLA Chameleon,Red / Yellow,PCDB-001-037-0
123-3D,PLA Silk Rainbow,Rose red + sky blue + green,PCDB-001-038-0
123-3D,PLA,Satin,PCDB-001-039-0
123-3D,PLA,Snow white,PCDB-001-040-0
123-3D,PLA,Sulfur Yellow,PCDB-001-041-0
123-3D,PLA,Transparent,PCDB-001-042-0
123-3D,PLA,White,PCDB-001-043-0
123-3D,PLA,Yellow,PCDB-001-044-0
123-3D,PLA Chameleon,Yellow,PCDB-001-045-0
123-3D,PLA Pro,Yest,PCDB-001-046-0
123-3D,PLA Fluorescent,green,PCDB-001-047-0
123-3D,PLA,heavenly blue,PCDB-001-048-0
123-3D,PLA Silk,pink,PCDB-001-049-0
123-3D,PLA,sky blue,PCDB-001-050-0
123-3D,PLA High Speed,white,PCDB-001-051-0
123-3D,PLA Matte,white,PCDB-001-052-0
123-3D,TPU 98A,Black,PCDB-001-001-2
1713DDesigns,ABS,Orange,PCDB-002-001-3
1713DDesigns,ABS,Red,PCDB-002-002-3
1713DDesigns,PLA,Baby Blue,PCDB-002-001-0
1713DDesigns,PLA,Blue,PCDB-002-002-0
1713DDesigns,PLA Silk,Gold,PCDB-002-003-0
1713DDesigns,PLA,Green,PCDB-002-004-0
1713DDesigns,PLA,Hi-Vis Yellow,PCDB-002-005-0
1713DDesigns,PLA Matte,Matte Black,PCDB-002-006-0
1713DDesigns,PLA Silk,Purple Yellow Blue,PCDB-002-007-0
1713DDesigns,PLA Silk,Rainbow candy,PCDB-002-008-0
1713DDesigns,PLA,Red,PCDB-002-009-0
1713DDesigns,PLA,White,PCDB-002-010-0
1713DDesigns,TPU Blend,Black,PCDB-002-001-2
22 Network,PETG,Magenta,PCDB-003-001-1
22 Network,PETG,Sky Blue,PCDB-003-002-1
22 Network,PETG,Transparent Blue,PCDB-003-003-1
22 Network,PLA Silk Dual,Black/Gold,PCDB-003-001-0
22 Network,PLA Silk Dual,Blue/Green,PCDB-003-002-0
22 Network,PLA Silk Dual,Blue/Purple,PCDB-003-003-0
22 Network,PLA Silk Dual,Blue/Silver,PCDB-003-004-0
22 Network,PLA Silk Dual,Coral/Purple,PCDB-003-005-0
22 Network,PLA Silk,Dark Gold,PCDB-003-006-0
22 Network,PLA Silk Dual,Dark Violet/Teal,PCDB-003-007-0
22 Network,PLA Silk,Gold,PCDB-003-008-0
22 Network,PLA Silk Multi-Color,Gold/Blue/Purple,PCDB-003-009-0
22 Network,PLA Silk Dual,Gold/Copper,PCDB-003-010-0
22 Network,PLA Silk Dual,Purple/Gold,PCDB-003-011-0
22 Network,PLA Silk Rainbow,Rainbow,PCDB-003-012-0
22 Network,PLA Silk Dual,Red/Blue,PCDB-003-013-0
22 Network,PLA Silk Multi-Color,Red/Gold/Purple,PCDB-003-014-0
22 Network,PLA Silk Dual,Red/Green,PCDB-003-015-0
22 Network,PLA Silk Multi-Color,Red/Yellow/Blue,PCDB-003-016-0
22 Network,PLA Silk,Silver,PCDB-003-017-0
22 Network,PLA Silk,White,PCDB-003-018-0
22 Network,PLA+/Pro,Latte brown,PCDB-003-001-999
22 Network,PLA+/Pro,Red,PCDB-003-002-999
3 Idea Technology,PLA+/Pro High Speed,Beige,PCDB-004-001-999
3 Idea Technology,PLA+/Pro High Speed,Black,PCDB-004-002-999
3 Idea Technology,PLA+/Pro High Speed,Grey,PCDB-004-003-999
3 Idea Technology,PLA+/Pro Marble,Marble,PCDB-004-004-999
3 Idea Technology,PLA+/Pro High Speed,White,PCDB-004-005-999
333 Print,PETG,Black,PCDB-005-001-1
333 Print,PETG,Yellow,PCDB-005-002-1
333print,PETG,Anthracite,PCDB-006-001-1
3D Best,PLA,Fluorescent Pink,PCDB-007-001-0
3D Best-Q,PCTG,Black,PCDB-008-001-6
3D Best-Q,PCTG,Transparent,PCDB-008-002-6
3D Best-Q,PLA Wood,Rosewood,PCDB-008-001-0
3D Best-Q,PLA,Wood,PCDB-008-002-0
3D Best-Q,TPU Flexible,Black,PCDB-008-001-2
3D Best-Q,TPU,Blue,PCDB-008-002-2
3D FOX,ABS Panchroma Silk,eret,PCDB-009-001-3
3D FOX,ASA,Black,PCDB-009-001-4
3D FOX,PETG,Army green,PCDB-009-001-1
3D FOX,PETG,Black,PCDB-009-002-1
3D FOX,PETG,Black,PCDB-009-003-1
3D FOX,PETG,Gray,PCDB-009-004-1
3D FOX,PETG,Pastel Orange,PCDB-009-005-1
3D FOX,PETG,Red,PCDB-009-006-1
3D FOX,PETG,White,PCDB-009-007-1
3D FOX,PLA Blend,Any,PCDB-009-001-0
3D FOX,PLA,Black,PCDB-009-002-0
3D FOX,PLA,Blue,PCDB-009-003-0
3D FOX,PLA,Fuchsia,PCDB-009-004-0
3D FOX,PLA,Red,PCDB-009-005-0
3D FOX,PLA,beige,PCDB-009-006-0
3D FOX,PLA,lemon yellow,PCDB-009-007-0
3D FUN,PLA Galaxy,Three Galaxy,PCDB-010-001-0
3D Filament,PETG Transparent,Azur trans,PCDB-011-001-1
3D Filament,PETG,Black,PCDB-011-002-1
3D Filament,PETG,Blue,PCDB-011-003-1
3D Filament,PETG,Brown 113475,PCDB-011-004-1
3D Filament,PETG Transparent,Clear,PCDB-011-005-1
3D Filament,PETG,Forest Green,PCDB-011-006-1
3D Filament,PETG Glow,Glowing Green,PCDB-011-007-1
3D Filament,PETG Glow,Glowing Natural,PCDB-011-008-1
3D Filament,PETG Glow,Glowing Yellow,PCDB-011-009-1
3D Filament,PETG Translucent,Golden,PCDB-011-010-1
3D Filament,PETG,Green,PCDB-011-011-1
3D Filament,PETG Transparent,Green,PCDB-011-012-1
3D Filament,PETG Silk Multi-Color,Green Black,PCDB-011-013-1
3D Filament,PETG,Grey,PCDB-011-014-1
3D Filament,PETG Sparkle,Large Plate Starry Sky Blue,PCDB-011-015-1
3D Filament,PETG,Marble,PCDB-011-016-1
3D Filament,PETG Marble,Marble,PCDB-011-017-1
3D Filament,PETG,Nebula Purple Sparkle,PCDB-011-018-1
3D Filament,PETG Transparent,Orange,PCDB-011-019-1
3D Filament,PETG,Orange,PCDB-011-020-1
3D Filament,PETG,Pink,PCDB-011-021-1
3D Filament,PETG,Purple,PCDB-011-022-1
3D Filament,PETG,Red,PCDB-011-023-1
3D Filament,PETG Transparent,Red,PCDB-011-024-1
3D Filament,PETG Transparent,Rot,PCDB-011-025-1
3D Filament,PETG Translucent,Translucent Purple,PCDB-011-026-1
3D Filament,PETG,Weiss,PCDB-011-027-1
3D Filament,PETG,White,PCDB-011-028-1
3D Filament,PETG Translucent,green,PCDB-011-029-1
