brand_name,Variant,Color Index,color_name,Image URL,Product URL
PLA Basic,(default),1,Jade White,https://store.bblcdn.com/s7/default/825eebc0e105490dbbc7a9abb287db1f/Rectangle_1279.jpg,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),2,Beige,https://store.bblcdn.com/s7/default/eaee9c70ea5f4c74bfd4f1eb63c34a67/fa231273753d477b9d99afa19761f820.media,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),3,Light Gray,https://store.bblcdn.com/s7/default/c323ac060ebe4bcdb046c06f5d09f346/b7c9db2942374e2793d9865461076ac4.png,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),4,Yellow,https://store.bblcdn.com/s7/default/c58234d6b11340788c0c03548222b8bd/3b0e7a2600f44088b06cb185a3f87e04.media,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),5,Sunflower Yellow,https://store.bblcdn.com/s7/default/949b1bda3c134a23b3634dec8c851221/f84eee46ecb848e69c2e6a5c197a9958.png,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),6,Pumpkin Orange,https://store.bblcdn.com/s7/default/6feea19ab1c64d4ba10aeb1b33285a07/ff733c26d9be457fb44ee270f2720827.png,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),7,Orange,https://store.bblcdn.com/s7/default/145d5d616c334260a8f4f6a3a54cf87c/3b7d85f463734924842171fab890a603.media,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),8,Gold,https://store.bblcdn.com/s7/default/d37bc626a6a54850868919dde038b48b/969f0c8921214ece8dbced65341fcbce.media,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),9,Bright Green,https://store.bblcdn.com/s7/default/187c939db99748169d23888c93982f8a/5578164bff51480a9c550ef390348ec1.png,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),10,Bambu Green,https://store.bblcdn.com/s7/default/210e37dd99f24949b9be3270effb3be0/7044786b85d44df9bbe872c6e5d87518.media,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),11,Mistletoe Green,https://store.bblcdn.com/s7/default/5a9e1fca8bba4dfca7579ae39f0c6a07/21f4f3191dfd4fd58f68fdb8b2be4ec4.media,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),12,Pink,https://store.bblcdn.com/s7/default/2d7c287e96f548998468abd5292e6a5c/16d81c82e3ac470c9abccfdda3e98ded.media,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),13,Hot Pink,https://store.bblcdn.com/s7/default/ff8fe218b8494acdb6762c3b61b20174/ed844344991348f79a91dfe9aeba362e.png,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),14,Magenta,https://store.bblcdn.com/s7/default/32faf71cc7ef49078d00e066f26a0af1/e09bc62c304443d8b33302b42f8ef2ca.media,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),15,Red,https://store.bblcdn.com/s7/default/c095828cb46044269274717bfbab0566/377d91b1263f40968ca1973b0d2839e4.media,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),16,Maroon Red,https://store.bblcdn.com/s7/default/9a16426731d04493bfbc93d671b8286f/6ddd230906194a7fa5403e2cc1d7ae77.png,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),17,Purple,https://store.bblcdn.com/s7/default/3feef4907f88467fa6db5f075d043ad7/8324030333a34c54b8472e5682d19f3f.media,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),18,Indigo Purple,https://store.bblcdn.com/s7/default/9964ecd589c8470fb6fac72d2ce8c251/d65aebf923b840af881f23286fb7d9b3.png,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),19,Turquoise,https://store.bblcdn.com/s7/default/8a6f3f028f5a4b5782fc5c0730d127ec/9f0327d603c345ac99fcb795cc783dff.png,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),20,Cyan,https://store.bblcdn.com/s7/default/af1ce799941a407bbc3964e00dc3191a/d665a3540d334035abc278b0b80e4898.media,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),21,Cobalt Blue,https://store.bblcdn.com/s7/default/9148bcf8138d4223892988d4b850079f/abd43099726847d6b189bec773ef1833.png,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),22,Blue,https://store.bblcdn.com/s7/default/54670201f19c4a079a23de8251c4b829/0cbb7037758240b4873f9a90ab4dbe10.media,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),23,Brown,https://store.bblcdn.com/s7/default/4262bd833add4a43a5bd60dde61a13fc/ae017fb32657451aaa0eecec9ad1b748.media,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),24,Cocoa Brown,https://store.bblcdn.com/s7/default/4bbaa998c8f34ab89cb0ce632fbf632f/91d13e7d3dd54a89948200e82353998f.png,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),25,Bronze,https://store.bblcdn.com/s7/default/375701952d3440f690199d26ffb7661f/8b75222ce246480184025993a40b948b.media,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),26,Gray,https://store.bblcdn.com/s7/default/3ad1b7f0aa4a4ea6af2a2e7121553bbf/d870efeaced648c6a3f390db1f55f725.media,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),27,Silver,https://store.bblcdn.com/s7/default/68ca516ec31046738cf567505471be03/8b789e9f61b14b54a248f813ea523191.media,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),28,Blue Grey,https://store.bblcdn.com/s7/default/4aab90399fe34105a3af69098a6e7d50/4e3637d99a73483bab1ce84fd7628a36.media,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),29,Dark Gray,https://store.bblcdn.com/s7/default/a08055776b464878bb311a88e1518931/03aedbaaff8943f892b58438f98cac89.png,https://us.store.bambulab.com/products/pla-basic-filament
PLA Basic,(default),30,Black,https://store.bblcdn.com/s7/default/c087aa5167c94817b0795fd821ac4116/352e8e214fb4462ba7e6b1381c32fe9f.media,https://us.store.bambulab.com/products/pla-basic-filament
PLA Matte,(default),1,Matte Ivory White,https://store.bblcdn.com/s7/default/4dfda2ea267145fea524b5b01183a1d3/c8693a709e0442f384bad600d03fe0c3.media,https://us.store.bambulab.com/products/pla-matte
PLA Matte,(default),2,Matte Bone White,https://store.bblcdn.com/s7/default/a4fa9b00833d4034ac3ee2c23b6572fe/Rectangle_4535.png,https://us.store.bambulab.com/products/pla-matte
PLA Matte,(default),3,Matte Lemon Yellow,https://store.bblcdn.com/s7/default/80f14ed4a26d437c87a2c75cd9e2fd61/147b2c8c833e4625a552584ce4ac94e2.media,https://us.store.bambulab.com/products/pla-matte
PLA Matte,(default),4,Matte Mandarin Orange,https://store.bblcdn.com/s7/default/9e35cf5a500946929370ba9bfda7c589/50858ad786c3414daaacb1f29eead215.media,https://us.store.bambulab.com/products/pla-matte
PLA Matte,(default),5,Matte Sakura Pink,https://store.bblcdn.com/s7/default/753cb281a8eb43429252a899494509be/a54f8229fa6e4c2eb714c34972fa6a82.media,https://us.store.bambulab.com/products/pla-matte
PLA Matte,(default),6,Matte Lilac purple,https://store.bblcdn.com/s7/default/98824cdda2ff471e98ceed81607d9244/47be9dad231d4e7c9d84086cd677e8dd.media,https://us.store.bambulab.com/products/pla-matte
PLA Matte,(default),7,Matte Plum,https://store.bblcdn.com/s7/default/1b4fd1fc84064a3b97d75350342f690f/Rectangle_4537.png,https://us.store.bambulab.com/products/pla-matte
PLA Matte,(default),8,Matte Scarlet Red,https://store.bblcdn.com/s7/default/507a8943f9ad475087200d6198752cb1/e97d6f747715417d8c2d5c0aeb2554f0.media,https://us.store.bambulab.com/products/pla-matte
