brand_name,color_name,variant_title,vendor,price,grams,inventory_quantity,option1,option2
Fiberon ASA-CF08,Black,1.75mm / 0.5kg / Black,Polymaker,19.99,500,,1.75mm,0.5kg
Fiberon ASA-CF08,Dark Grey,1.75mm / 0.5kg / Dark Grey,Polymaker,19.99,500,,1.75mm,0.5kg
Fiberon ASA-CF08,Light Grey,1.75mm / 0.5kg / Light Grey,Polymaker,19.99,500,,1.75mm,0.5kg
Fiberon ASA-CF08,Navy Blue,1.75mm / 0.5kg / Navy Blue,Polymaker,19.99,500,,1.75mm,0.5kg
Fiberon ASA-CF08,Dark Red,1.75mm / 0.5kg / Dark Red,Polymaker,19.99,500,,1.75mm,0.5kg
Fiberon ASA-CF08,Desert Sand,1.75mm / 0.5kg / Desert Sand,Polymaker,19.99,500,,1.75mm,0.5kg
Fiberon PA12-CF10,Black,1.75mm / 0.5kg / Black,Polymaker,69.99,860,,1.75mm,0.5kg
Fiberon PA6-CF20,Black,1.75mm / 0.5kg / Black,Polymaker,39.99,860,,1.75mm,0.5kg
Fiberon PA6-GF25,Grey,1.75mm / 0.5kg / Grey,Polymaker,29.99,860,,1.75mm,0.5kg
Fiberon PA612-CF15,Black,1.75mm / 0.5kg / Black,Polymaker,34.99,860,,1.75mm,0.5kg
Fiberon PA612-ESD,Black,1.75mm / 0.5kg / Black,Polymaker,64.99,860,,1.75mm,0.5kg
Fiberon PET-CF17,Black,1.75mm / 0.5kg / Black,Polymaker,24.99,860,,1.75mm,0.5kg
Fiberon PET-GF15,Black,1.75mm / 1kg / Black,Polymaker,29.99,1350,,1.75mm,1kg
Fiberon PET-GF15,Dark Grey,1.75mm / 1kg / Dark Grey,Polymaker,29.99,1350,,1.75mm,1kg
Fiberon PET-GF15,Light Grey,1.75mm / 1kg / Light Grey,Polymaker,29.99,1350,,1.75mm,1kg
Fiberon PET-GF15,White,1.75mm / 1kg / White,Polymaker,29.99,1350,,1.75mm,1kg
Fiberon PET-GF15,Blue,1.75mm / 1kg / Blue,Polymaker,29.99,1350,,1.75mm,1kg
Fiberon PET-GF15,Red,1.75mm / 1kg / Red,Polymaker,29.99,1350,,1.75mm,1kg
Fiberon PETG-rCF08,Black,1.75mm / 0.5kg / Black,Polymaker,19.99,860,,1.75mm,0.5kg
Fiberon PPS-CF10,Black,1.75mm / 0.5kg / Black,Polymaker,69.99,860,,1.75mm,0.5kg
Fiberon PPS-GF20,Grey,1.75mm / 0.5kg / Grey,Polymaker,59.99,500,,1.75mm,0.5kg
Panchroma Basic PLA,Black,1.75mm / 1kg / Black,Polymaker,18.99,1000,,1.75mm,1kg
Panchroma Basic PLA,White,1.75mm / 1kg / White,Polymaker,18.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Cold White,1.75mm / 1kg / Cold White,Polymaker,18.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Red,1.75mm / 1kg / Red,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Orange,1.75mm / 1kg / Orange,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Magenta,1.75mm / 1kg / Magenta,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Pink,1.75mm / 1kg / Pink,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Wine Red,1.75mm / 1kg / Wine Red,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Lemon Yellow,1.75mm / 1kg / Lemon Yellow,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Yellow,1.75mm / 1kg / Yellow,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Cream,1.75mm / 1kg / Cream,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Beige,1.75mm / 1kg / Beige,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Tan,1.75mm / 1kg / Tan,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma Basic PLA,Brown,1.75mm / 1kg / Brown,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Green,1.75mm / 1kg / Green,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Lime Green,1.75mm / 1kg / Lime Green,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Jungle Green,1.75mm / 1kg / Jungle Green,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Olive Green,1.75mm / 1kg / Olive Green,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Dark Olive Drab,1.75mm / 1kg / Dark Olive Drab,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma Basic PLA,Azure Blue,1.75mm / 1kg / Azure Blue,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Blue,1.75mm / 1kg / Blue,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Aqua Blue,1.75mm / 1kg / Aqua Blue,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Stone Blue,1.75mm / 1kg / Stone Blue,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Polymaker Teal,1.75mm / 1kg / Polymaker Teal,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Steel Grey,1.75mm / 1kg / Steel Grey,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Grey,1.75mm / 1kg / Grey,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Dark Grey,1.75mm / 1kg / Dark Grey,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Basic PLA,Purple,1.75mm / 1kg / Purple,Polymaker,19.99,1000,,1.75mm,1kg
Panchroma Celestial PLA,Celestial Blue,1.75mm / 1kg / Celestial Blue,Polymaker,24.99,1350,,1.75mm,1kg
Panchroma Celestial PLA,Celestial Green,1.75mm / 1kg / Celestial Green,Polymaker,24.99,1350,,1.75mm,1kg
Panchroma Celestial PLA,Celestial Purple,1.75mm / 1kg / Celestial Purple,Polymaker,24.99,1350,,1.75mm,1kg
Panchroma Celestial PLA,Celestial White,1.75mm / 1kg / Celestial White,Polymaker,24.99,1350,,1.75mm,1kg
Panchroma Celestial PLA,Celestial Light Yellow,1.75mm / 1kg / Celestial Light Yellow,Polymaker,24.99,1350,,1.75mm,1kg
Panchroma Celestial PLA,Celestial Light Pink,1.75mm / 1kg / Celestial Light Pink,Polymaker,24.99,1350,,1.75mm,1kg
Panchroma Celestial PLA,Celestial Yellow,1.75mm / 1kg / Celestial Yellow,Polymaker,24.99,1350,,1.75mm,1kg
Panchroma CoPE,Black,1.75mm / 1kg / Black,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Dark Grey,1.75mm / 1kg / Dark Grey,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Steel Grey,1.75mm / 1kg / Steel Grey,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Grey,1.75mm / 1kg / Grey,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Brown,1.75mm / 1kg / Brown,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Tan,1.75mm / 1kg / Tan,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Beige,1.75mm / 1kg / Beige,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Cream,1.75mm / 1kg / Cream,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,White,1.75mm / 1kg / White,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Cold White,1.75mm / 1kg / Cold White,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Pink,1.75mm / 1kg / Pink,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Magenta,1.75mm / 1kg / Magenta,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Red,1.75mm / 1kg / Red,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Wine Red,1.75mm / 1kg / Wine Red,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Orange,1.75mm / 1kg / Orange,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Yellow,1.75mm / 1kg / Yellow,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Lemon Yellow,1.75mm / 1kg / Lemon Yellow,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Lime Green,1.75mm / 1kg / Lime Green,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Olive Green,1.75mm / 1kg / Olive Green,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Green,1.75mm / 1kg / Green,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Jungle Green,1.75mm / 1kg / Jungle Green,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Olive Drab Green,1.75mm / 1kg / Olive Drab Green,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Polymaker Teal,1.75mm / 1kg / Polymaker Teal,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Aqua Blue,1.75mm / 1kg / Aqua Blue,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Stone Blue,1.75mm / 1kg / Stone Blue,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Blue,1.75mm / 1kg / Blue,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma CoPE,Purple,1.75mm / 1kg / Purple,Polymaker,19.99,1350,,1.75mm,1kg
Panchroma Dual Matte PLA,Dual Matte Shadow Black,1.75mm / 1kg / Dual Matte Shadow Black,Polymaker,22.99,1350,,1.75mm,1kg
