Material,brand_name,color_name,Weight,Price (USD),Availability,Image URL,Product URL
ASA,Prusament ASA,Jet Black,800g,25.916667,In stock,/content/images/product/90a28488-7fa4-447c-a665-de362d227435.jpg,https://www.prusa3d.com/product/product/prusament-asa-jet-black-800g-nfc//
ASA,Prusament ASA,Natural,800g,25.916667,In stock,/content/images/product/6399a9e7-6020-49ec-87f4-92cad29d0532.jpg,https://www.prusa3d.com/product/product/prusament-asa-natural-800g-nfc//
ASA,Prusament ASA,Prusa Galaxy Black,800g,25.916667,In stock,/content/images/product/3eba6ada-f1b5-451f-8a18-ae7ef1c8d7c7.jpg,https://www.prusa3d.com/product/product/prusament-asa-prusa-galaxy-black-800g-nfc//
ASA,Prusament ASA,Prusa Orange,800g,25.916667,In stock,/content/images/product/0ea4d2e1-1401-458f-8350-e25551b0a319.jpg,https://www.prusa3d.com/product/product/prusament-asa-prusa-orange-800g-nfc//
ASA,Prusament ASA,Signal White,800g,25.916667,In stock,/content/images/product/21e58c90-5b74-45b5-baff-accff3b66372.jpg,https://www.prusa3d.com/product/product/prusament-asa-signal-white-800g-nfc//
ASA,Prusament ASA,Jet Black – Multipack 10 pcs,800g,259.166669,Estimated leadtime 1 week,/content/images/product/63e2dbb5-8c2a-4030-a109-f240007d1544.png,https://www.prusa3d.com/product/product/prusament-asa-jet-black-800g-nfc-multipack-10-pcs//
ASA,Prusament ASA,Lipstick Red,25g,2.190083,In stock,/content/images/product/e44e679a-a276-4620-b485-3b99c03dd33c.jpg,https://www.prusa3d.com/product/product/prusament-asa-lipstick-red-25g-sample//
ASA,Prusament ASA,Lipstick Red – Multipack 10 pcs,800g,259.166669,Estimated leadtime 1 week,/content/images/product/e501ac87-65ab-48a6-a2d6-ee54334c2511.png,https://www.prusa3d.com/product/product/prusament-asa-lipstick-red-800g-nfc-multipack-10-pcs//
ASA,Prusament ASA,Natural – Multipack 10 pcs,800g,259.166669,Estimated leadtime 1 week,/content/images/product/164d0ef2-1dd5-4439-b2a4-ae98a5ff140f.png,https://www.prusa3d.com/product/product/prusament-asa-natural-800g-nfc-multipack-10-pcs//
ASA,Prusament ASA,Olive Green,25g,2.190083,In stock,/content/images/product/8c0ecc09-e3a1-491d-b9ed-e45d3750d70b.jpg,https://www.prusa3d.com/product/product/prusament-asa-olive-green-25g-sample//
