manufacturer_code,manufacturer_name
1,123-3D
2,1713DDesigns
3,22 Network
4,3 Idea Technology
5,333 Print
6,333print
7,3D Best
8,3D Best-Q
9,3D FOX
10,3D FUN
11,3D Filament
12,3D Fillies
13,3D Freunde
14,3D GSUN
15,3D Hero
16,3D Innovations
17,3D META
18,3D Maliang
19,3D PF
20,3D Plast
21,3D Printer Filament
22,3D Printing Canada
23,3D Printz
24,3D Procer
25,3D Radical Prints
26,3D Saga
27,3D Shop
28,3D Solutech
29,3D Sphynx
30,3D Universe
31,3D Warhorse
32,3D-DRUCKER-FILAMENT.DE
33,3D-Fuel
34,3D-Polimer
35,3DACTIVE
36,3DC
37,3DCentral
38,3DE
39,3DE Premium
40,3DEA
41,3DF Filaments
42,3DFIL
43,3DFILS
44,3DFila
45,3DFillies
46,3DFinity
47,3DHoJor
48,3DJake
49,3DKAIGE
50,3DKordo
51,3DLAB
52,3DLabPrint
53,3DLine
54,3DLogic
55,3DNet
56,3DO
57,3DPLAST
58,3DPO
59,3DPRIME
60,3DPoint
61,3DPower
62,3DPrima
63,3DQF
64,3DS Tech
65,3DSquad
66,3DSupreme
67,3DTrcek
68,3DWare
69,3DWorld
70,3DXTECH
71,3Dfilament
72,3Dgenius
73,3DimsFila
74,3Dmensionals
75,3Dshark
76,3d4makers
77,3dk.berlin
78,3n3
79,3nMax
80,4DLab
81,78125
82,A3DP
83,ABCWavePrint
84,AGF
85,AICOPYTO
86,AIO Robotics
87,ALLTIME3D
88,ALMA
89,AMZ3D
90,ARES INDUSTRIES
91,ATARAXIA ART
92,AURAPOL
93,AW-3D
94,AXVVA
95,Abaflex
96,Aceaddity
97,Airwolf 3D
98,Alchemakes
99,Alcia3DP
100,Alien3D
101,Aliz
102,AlmightyFila
103,Alpha@Play
104,AltTab
105,Altec
106,Alzament
107,Amazon Basics
108,Ambrosia
109,American Filament
110,Amolen
111,Amoybaby
112,Ampertec
113,Anet
114,Ankermake
115,Anmark
116,Any
117,Anycubic
118,Arfona
119,Arianeplast
120,Arrange Lines
121,Artillery
122,Ata-3d
123,Atomic Filament
124,Attoblue - 阿特蓝
125,Aurarum
126,AzureFilm
127,B.BABOO
128,B.Bamboo
129,BAMtack!
130,BAREfilament
131,BASF
132,BASICFIL
133,BFI3D
134,BIBO
135,BING3D
136,BIQU
137,BQ
138,Bambu Lab
139,Bamtco
140,Basics 3D
141,Bavaria
142,Bblife
143,Beelayers
144,Behant
145,Bestfilament
146,Beta
147,BigRep
148,Bilby 3D
149,Black Forest Filaments
150,Black Magic 3D
151,Blendmaker
152,Blossomlife
153,Blue Ember
154,Bolton Tools
155,Botfeeder
156,Boze
157,Brahma Lab
158,Breathe-3DP
159,Bresser
160,BuMat
161,Buddy3D
162,BuildVolume
163,C-Tech
164,CAIGE
165,CAILAB
166,CAZ3D
167,CC Diy Materials
168,CC3D
169,CCTREE
170,CEL Robox
171,CHAM
172,CHCKX
173,CMACAIV
174,CMYK
175,COEX
176,COLORFUL
177,CR Series
178,CR3D
179,CREAT3D
180,CREOZONE
181,CS3D
182,CV
183,California Filament
184,Canadian Filaments
185,Capital 3D
186,Capricorn
187,Carbodeon
188,Carbon
189,Centro3D
190,Cerprise
191,China TEMU No name
192,Ching Leung
193,Chitu Systems
194,Choudajie
195,Chromatik
196,Chrominal
197,Cicla
198,Clas Ohlson
199,Cliever
200,Closed Loop Plastics
201,Closin
202,CoLiDo
203,Cocoon
204,Color Me 3D
205,ColorFabb
206,ColorVision
207,Colour Dream
208,Comfy Materials
209,Comgrow
210,Conjure
211,Control3D
212,CooBeen
213,Cookiecad
214,Copper 3D
215,Copymaster3D
216,Cotrim
217,Creality
218,Creator
219,Crofil 3D
220,Crossbridge
221,Cryddle
222,Curear
223,Cyclone Filament 2.0
224,D3D
225,D3D Sigma
226,DC Plastics
227,DC Print
228,DEEPLE
229,DEEPLEE
230,DEXP
231,DH-SUPER-SEA
232,DINGSUN
233,DO3D
234,DOWELL 3D
235,DREMC
236,DUDV2
237,DURAMIC 3D
238,DYNTA
239,DaVinciLab
240,DailyFil
241,Dajian
242,Damtulab
243,Dancyn 3D Prints
244,Darmax
245,Das Filament
246,Dengguangxiong
247,Depodry
248,Devil Design
249,Digital Rise
250,Dikale
251,DoPro3D
252,DreamPolymers
253,Dremel
254,Dummy -  Placeholder
255,Dyair
256,DynaLabs
257,E-DA
258,E3D
259,EIBOS
260,EICE
261,ELAS 3D
262,ELEGOO
263,EMBRO
264,ENISINA
265,ENOMAKER
266,EONO3D
267,EPAX
268,EPESTOEC
269,ERGOPLASTIC
270,Easy Threed
271,Easyprint
272,Eazyprint
273,Echen
274,Ecofilament
275,Ecogenesis
276,Econofil
277,Edhojor
278,Efil
279,Ekohome
280,Elemat
281,Element3d
282,Elite
283,Emisha
284,Ender
285,Endless Filament
286,Enky 3dp
287,Enotepad
288,Envirolaser 3D / EL3D
289,Eolas Prints
290,Epelay
291,Eryone
292,Eureka
293,Euroharry Gmbh
294,Everyglow
295,Evolt Easy
296,Exoflex
297,Extrudr
298,F3D
299,FDPlast
300,FF SUNSENKJ
301,FILA 3D
302,FIROS
303,FIXDRY
304,FLSUN
305,FOKOOS
306,FOVFO
307,FOXTRUDER
308,FU Labs
309,FUSED MATERIALS
310,FUTUR 3D
311,FXAAGFH
312,Facilian
313,Factory Filament
314,Factory Sale
315,Fancypop
316,Fashion3D
317,Festool
318,Fiber Feel
319,FiberForce
320,Fiberlogy
321,Fiberon
322,Fibromast
323,Figutech
324,Fil X
325,FilHub
326,FilRight
327,FilaBees
328,FilaCube
329,FilaFarm
330,FilaLab (Argentina)
331,FilaMatrix
332,FilaTex3D
333,Filablend
334,Filabotics
335,Filacraft
336,Filaform
337,Filajoy
338,Filalab
339,Filamax
340,Filament 3D
341,Filament Hub
342,Filament PM
343,Filament Unger
344,Filament-ABS.fr
345,FilamentOne
346,FilamentWorks
347,Filamentarno!
348,Filamentcore
349,Filamentive
350,Filamenton
351,Filamentos 3D Brasil
352,Filaments Depot
353,Filaments.CA
354,Filamentworld
355,Filamix
356,Filanex 3D
357,Filanora
358,Filanova
359,Filapoly
360,Filaprint
361,Filastruder Veracity
362,Filatech
363,Filaven
364,Filaxix
365,Filazoo
366,Fill 3D
367,Fillamentum
368,Filoalfa
369,Filtory 3D
370,Fjord3D
371,FlashForge
372,Flexible
373,Flibox
374,Force Tracer
375,Forgely
376,FormFutura
377,Formlabs
378,Forshape
379,Fortis Filaments
380,Forward AM
381,Francofil
382,Freetoprint3d
383,Fremover
384,Fritz 3D
385,Frontierfilla
386,Frucindra
387,Fugacity
388,FujTech
389,Fulament
390,Fulljoy
391,Fun Too (方途）
392,Funspool
393,FusRock
394,Fusion Filaments
395,Fusion X
396,Future Era
397,G3D Pro (Grossiste 3D)
398,GC3D
399,GCCSJ
400,GEEFTECH
401,GELO
402,GEZOFAB
403,GL Robotics
404,GNVTNTP
405,GST 3D
406,GTMax
407,Gaintarm
408,Gearlab
409,Geeetech
410,Geek Fil/lament
411,Gembird
412,Generic
413,Giantarm
414,Gilford
415,Gizmo Dorks
416,Goedis 3D
417,GolGeo
418,Goto Guard
419,GrEG
420,Gradient
421,GratKit
422,Grauts
423,Gravaplast
424,Greatsimple
425,GreenGate3D
426,Greenboy3D
427,Grilon3
428,Gryddle
429,Gucai
430,H3D
431,HEPHi3D
432,HIPRECY
433,HP 3DF
434,HUTI
435,HZST 3D
436,HZST3D
437,Haiteng
438,Handi Technology
439,Handini
440,Handtmann
441,Haosegd
442,HariMau3D
443,Hatchbox
444,Hautstore
445,Haydale
446,Hellbot
447,Hello3D
448,Heloland
449,Hephaestone
450,Herz Filament
451,Hillium
452,Himalaya
453,Hobby King
454,Hobby Lobby
455,Hobby Wholesale
456,Homewerken
457,Hotfine
458,HuNan Yasin 3D
