brand_name,color_name,diameter,weight,material,price
VOXEL PETG+ HS,Black,1.75mm,1kg,PETG,16.99
VOXEL PETG+ HS,Blue,1.75mm,1kg,PETG,16.99
VOXEL PETG+ HS,Crystal Clear,1.75mm,1kg,PETG,16.99
VOXEL PETG+ HS,Dark Purple,1.75mm,1kg,PETG,16.99
VOXEL PETG+ HS,Green,1.75mm,1kg,PETG,16.99
VOXEL PETG+ HS,Grey,1.75mm,1kg,PETG,16.99
VOXEL PETG+ HS,Orange,1.75mm,1kg,PETG,16.99
VOXEL PETG+ HS,Red,1.75mm,1kg,PETG,16.99
VOXEL PETG+ HS,Silver,1.75mm,1kg,PETG,16.99
VOXEL PETG+ HS,White,1.75mm,1kg,PETG,16.99
VOXEL PETG+ HS,Yellow,1.75mm,1kg,PETG,16.99
Voxel Galaxy PETG+ HS,Aurora Green,1.75mm,1kg,PETG,24.99
Voxel Galaxy PETG+ HS,Emerald Gold,1.75mm,1kg,PETG,24.99
Voxel Galaxy PETG+ HS,Gioiello Purple,1.75mm,1kg,PETG,24.99
Voxel Galaxy PETG+ HS,Midnight Blue,1.75mm,1kg,PETG,24.99
Voxel PLA+ HS,Army Green,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Brown,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Champagne Beige,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Cool White,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Dark Purple,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Fire Engine Red,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Fire Orange,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Forest Green,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Gold,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Gunmetal Blue,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Ice Clear,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Lavender Purple,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Magenta,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Pink,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Silver,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Sky Blue,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Voxel Black,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Voxel Grey,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Voxel Phantom Blue,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Voxel Royal Blue,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Witch Green,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Wood,1.75mm,1kg,PLA,16.99
Voxel PLA+ HS,Yellow,1.75mm,1kg,PLA,16.99
