manufacturer_code,manufacturer_name
1,123-3D
2,1713DDesigns
3,22 Network
4,3 Idea Technology
5,333 Print
6,333print
7,3D Best
8,3D Best-Q
9,3D Brothers
10,3D FOX
11,3D FUN
12,3D Filament
13,3D Fillies
14,3D Freunde
15,3D GSUN
16,3D Hero
17,3D Innovations
18,3D META
19,3D Maliang
20,3D Market
21,3D PF
22,3D Plast
23,3D Printer Filament
24,3D Printing Canada
25,3D Printz
26,3D Procer
27,3D Radical Prints
28,3D Saga
29,3D Shop
30,3D Solutech
31,3D Sphynx
32,3D Universe
33,3D Warhorse
34,3D-DRUCKER-FILAMENT.DE
35,3D-Fuel
36,3D-Polimer
37,3DACTIVE
38,3DC
39,3DCentral
40,3DE
41,3DE Premium
42,3DEA
43,3DF Filaments
44,3DFIL
45,3DFILS
46,3DFila
47,3DFillies
48,3DFinity
49,3DHoJor
50,3DJake
51,3DKAIGE
52,3DKordo
53,3DLAB
54,3DLabPrint
55,3DLine
56,3DLogic
57,3DNet
58,3DO
59,3DPLAST
60,3DPO
61,3DPRIME
62,3DPoint
63,3DPower
64,3DPrima
65,3DQF
66,3DS Tech
67,3DSquad
68,3DSupreme
69,3DTrcek
70,3DWare
71,3DWorld
72,3DXTECH
73,3Dfilament
74,3Dgenius
75,3DimsFila
76,3Dmensionals
77,3Dshark
78,3d4makers
79,3dk.berlin
80,3n3
81,3nMax
82,4DLab
83,78125
84,A3DP
85,ABCWavePrint
86,AGF
87,AICOPYTO
88,AIO Robotics
89,ALLTIME3D
90,ALMA
91,AMZ3D
92,ARES INDUSTRIES
93,ATARAXIA ART
94,AURAPOL
95,AW-3D
96,AXVVA
97,Abaflex
98,Aceaddity
99,Airwolf 3D
100,Alchemakes
101,Alcia3DP
102,Alien3D
103,Aliz
104,AlmightyFila
105,Alpha@Play
106,AltTab
107,Altec
108,Alzament
109,Amazon Basics
110,Ambrosia
111,American Filament
112,Amolen
113,Amoybaby
114,Ampertec
115,Anet
116,Ankermake
117,Anmark
118,Any
119,Anycubic
120,Arfona
121,Arianeplast
122,Arrange Lines
123,Artillery
124,Ata-3d
125,Atomic Filament
126,Attoblue - 阿特蓝
127,Aurarum
128,AzureFilm
129,B.BABOO
130,B.Bamboo
131,BAMtack!
132,BAREfilament
133,BASF
134,BASICFIL
135,BFI3D
136,BIBO
137,BING3D
138,BIQU
139,BQ
140,Bambu Lab
141,Bamtco
142,Basics 3D
143,Bavaria
144,Bblife
145,Beelayers
146,Behant
147,Bestfilament
148,Beta
149,BigRep
150,Bilby 3D
151,Black Forest Filaments
152,Black Magic 3D
153,Blendmaker
154,Blossomlife
155,Blue Ember
156,Bolton Tools
157,Botfeeder
158,Boze
159,Brahma Lab
160,Breathe-3DP
161,Bresser
162,BuMat
163,Buddy3D
164,BuildVolume
165,C-Tech
166,CAIGE
167,CAILAB
168,CAZ3D
169,CC Diy Materials
170,CC3D
171,CCTREE
172,CEL Robox
173,CHAM
174,CHCKX
175,CMACAIV
176,CMYK
177,COEX
178,COLORFUL
179,CR Series
180,CR3D
181,CREAT3D
182,CREOZONE
183,CRON
184,CS3D
185,CUBE
186,CV
187,California Filament
188,Canadian Filaments
189,Capital 3D
190,Capricorn
191,Carbodeon
192,Carbon
193,Centro3D
194,Cerprise
195,China TEMU No name
196,Ching Leung
197,Chitu Systems
198,Choudajie
199,Chromatik
200,Chrominal
201,Cicla
202,Clas Ohlson
203,Cliever
204,Closed Loop Plastics
205,Closin
206,CoLiDo
207,Cocoon
208,Color Me 3D
209,ColorFabb
210,ColorVision
211,Colour Dream
212,Comfy Materials
213,Comgrow
214,Conjure
215,Control3D
216,CooBeen
217,Cookiecad
218,Copper 3D
219,Copymaster3D
220,Cotrim
221,Craftory
222,Creality
223,Creator
224,Crofil 3D
225,Crossbridge
226,Cryddle
227,Curear
228,Cyclone Filament 2.0
229,D3D
230,D3D Sigma
231,DC Plastics
232,DC Print
233,DEEPLE
234,DEEPLEE
235,DEXP
236,DH-SUPER-SEA
237,DINGSUN
238,DO3D
239,DOWELL 3D
240,DREMC
241,DUDV2
242,DURAMIC 3D
243,DYNTA
244,DaVinciLab
245,DailyFil
246,Dajian
247,Damtulab
248,Dancyn 3D Prints
249,Darmax
250,Das Filament
251,Dengguangxiong
252,Depodry
253,Devil Design
254,Digital Rise
255,Dikale
256,DoPro3D
257,DreamPolymers
258,Dremel
259,Dummy -  Placeholder
260,Dyair
261,DynaLabs
262,E-DA
263,E3D
264,EIBOS
265,EICE
266,ELAS 3D
267,ELEGOO
268,ELEMENTAL
269,EMBRO
270,ENISINA
271,ENOMAKER
272,EONO3D
273,EPAX
274,EPESTOEC
275,ERGOPLASTIC
276,Easy Threed
277,Easyprint
278,Eazyprint
279,Echen
280,Ecofilament
281,Ecogenesis
282,Econofil
283,Edhojor
284,Efil
285,Ekohome
286,Elemat
287,Element3d
288,Elite
289,Emisha
290,Ender
291,Endless Filament
292,Enky 3dp
293,Enotepad
294,Envirolaser 3D / EL3D
295,Eolas
296,Eolas Prints
297,Epelay
298,Eryone
299,Eureka
300,Euroharry Gmbh
301,Everyglow
302,Evolt Easy
303,Exoflex
304,Extrudr
305,F3D
306,FDPlast
307,FF SUNSENKJ
308,FFFworld
309,FILA 3D
310,FILASUR
311,FIROS
312,FIXDRY
313,FLSUN
314,FOKOOS
315,FOVFO
316,FOXTRUDER
317,FU Labs
318,FUSED MATERIALS
319,FUTUR 3D
320,FXAAGFH
321,Facilian
322,Factory Filament
323,Factory Sale
324,Fancypop
325,FangTu
326,Fashion3D
327,Festool
328,Fiber Feel
329,FiberForce
330,Fiberlogy
331,Fiberon
332,FibreSeek
333,Fibromast
334,Figutech
335,Fil X
336,FilHub
337,FilRight
338,FilaBees
339,FilaCube
340,FilaFarm
341,FilaLab (Argentina)
342,FilaMatrix
343,FilaTex3D
344,Filablend
345,Filabotics
346,Filacraft
347,Filaform
348,Filajoy
349,Filalab
350,Filamax
351,Filament 3D
352,Filament Hub
353,Filament PM
354,Filament Unger
355,Filament-ABS.fr
356,FilamentOne
357,FilamentWorks
358,Filamentarno!
359,Filamentcore
360,Filamentive
361,Filamenton
362,Filamentor
363,Filamentos 3D Brasil
364,Filaments Depot
365,Filaments.CA
366,Filamentworld
367,Filamix
368,Filanex 3D
369,Filanora
370,Filanova
371,Filapoly
372,Filaprint
373,Filastruder Veracity
374,Filatech
375,Filaven
376,Filaxix
377,Filazoo
378,Filetto
379,Filex 3D
380,Fill 3D
381,Fillamentum
382,Filoalfa
383,Filtory 3D
384,Fjord3D
385,FlashForge
386,Flexible
387,Flibox
388,Force Tracer
389,Forgely
390,FormFutura
391,Formlabs
392,Forshape
393,Fortis Filaments
394,Forward AM
395,Francofil
396,Freetoprint3d
397,Fremover
398,Fritz 3D
399,Frontierfilla
400,Frucindra
401,Fugacity
402,FujTech
403,Fulament
404,Fulljoy
405,Fun Too (方途）
406,Funspool
407,FusRock
408,Fusion Filaments
409,Fusion X
410,Future Era
411,G3D Pro (Grossiste 3D)
412,GC3D
413,GCCSJ
414,GEEFTECH
415,GELO
416,GEZOFAB
417,GL Robotics
418,GNVTNTP
419,GST 3D
420,GTMax
421,Gaintarm
422,Gearlab
423,Geeetech
424,Geek Fil/lament
425,Gembird
426,Generic
427,Giantarm
428,Gilford
429,Gizmo Dorks
430,Goedis 3D
431,GolGeo
432,Goto Guard
433,GrEG
434,Gradient
435,GratKit
436,Grauts
437,Gravaplast
438,Greatsimple
439,GreenGate3D
440,GreenTech
441,Greenboy3D
442,Grilon3
443,Gryddle
444,Gucai
445,H3D
446,HEPHi3D
447,HIPRECY
448,HP 3DF
449,HUTI
450,HZST 3D
451,HZST3D
452,Haiteng
453,Handi Technology
454,Handini
455,Handtmann
456,Hangzhou Zhuopu
457,Haosegd
458,HariMau3D
459,Hatchbox
